date,clone_count,clone_uniques,view_count,view_uniques
2025-10-01T00:00:00Z,4,4,18,1
2025-10-02T00:00:00Z,4,4,7,1
2025-10-03T00:00:00Z,3,3,4,1
2025-10-04T00:00:00Z,4,3,0,0
2025-10-05T00:00:00Z,0,0,1,1
2025-10-06T00:00:00Z,3,3,16,1
2025-10-07T00:00:00Z,1,1,3,1
2025-10-08T00:00:00Z,3,3,0,0
2025-10-09T00:00:00Z,2,2,7,1
2025-10-10T00:00:00Z,1,1,31,8
2025-10-11T00:00:00Z,2,2,9,1
2025-10-12T00:00:00Z,0,0,3,1
2025-10-13T00:00:00Z,3,3,46,5
2025-10-14T00:00:00Z,2,2,84,5
2025-10-15T00:00:00Z,3,2,19,3
2025-10-02T00:00:00Z,1,1,6,1
2025-10-03T00:00:00Z,3,3,4,1
2025-10-04T00:00:00Z,4,3,0,0
2025-10-05T00:00:00Z,0,0,1,1
2025-10-06T00:00:00Z,3,3,16,1
2025-10-07T00:00:00Z,1,1,3,1
2025-10-08T00:00:00Z,3,3,0,0
2025-10-09T00:00:00Z,2,2,7,1
2025-10-10T00:00:00Z,1,1,31,8
2025-10-11T00:00:00Z,2,2,9,1
2025-10-12T00:00:00Z,0,0,3,1
2025-10-13T00:00:00Z,3,3,46,5
2025-10-14T00:00:00Z,2,2,84,5
2025-10-15T00:00:00Z,10,7,89,5
